"id","nameaffiliation","title","doi","year","citations","authors","inb_grant"
"5203","Barcelona Institute for Global Health (ISGlobal)","A common 16p11.2 inversion underlies the joint susceptibility to asthma and obesity.","10.1016/j.ajhg.2014.01.015","2014","17","Juan R González, Alejandro Cáceres, Tonu Esko, Ivon Cuscó, Marta Puig, Mikel Esnaola, Judith Reina, Valerie Siroux, Emmanuelle Bouzigon, Rachel Nadif, Eva Reinmaa, Lili Milani, Mariona Bustamante, Deborah Jarvis, Josep M Antó, Jordi Sunyer, Florence Demenais, Manolis Kogevinas, Andres Metspalu, Mario Cáceres, Luis A Pérez-Jurado","No"
"5204","Barcelona Institute for Global Health (ISGlobal)","Re-analysis of public genetic data reveals a rare X-chromosomal variant associated with type 2 diabetes.","10.1038/s41467-017-02380-9","2018","1","Sílvia Bonàs-Guarch, Marta Guindo-Martínez, Irene Miguel-Escalada, Niels Grarup, David Sebastian, Elias Rodriguez-Fos, Friman Sánchez, Mercè Planas-Fèlix, Paula Cortes-Sánchez, Santi González, Pascal Timshel, Tune H Pers, Claire C Morgan, Ignasi Moran, Goutham Atla, Juan R González, Montserrat Puiggros, Jonathan Martí, Ehm A Andersson, Carlos Díaz, Rosa M Badia, Miriam Udler, Aaron Leong, Varindepal Kaur, Jason Flannick, Torben Jørgensen, Allan Linneberg, Marit E Jørgensen, Daniel R Witte, Cramer Christensen, Ivan Brandslund, Emil V Appel, Robert A Scott, Jian'an Luan, Claudia Langenberg, Nicholas J Wareham, Oluf Pedersen, Antonio Zorzano, Jose C Florez, Torben Hansen, Jorge Ferrer, Josep Maria Mercader, David Torrents","No"
"5205","Barcelona Institute for Global Health (ISGlobal)","Global variation in copy number in the human genome.","10.1038/nature05329","2006","2133","Richard Redon, Shumpei Ishikawa, Karen R Fitch, Lars Feuk, George H Perry, T Daniel Andrews, Heike Fiegler, Michael H Shapero, Andrew R Carson, Wenwei Chen, Eun Kyung Cho, Stephanie Dallaire, Jennifer L Freeman, Juan R González, Mònica Gratacòs, Jing Huang, Dimitrios Kalaitzopoulos, Daisuke Komura, Jeffrey R MacDonald, Christian R Marshall, Rui Mei, Lyndal Montgomery, Kunihiro Nishimura, Kohji Okamura, Fan Shen, Martin J Somerville, Joelle Tchinda, Armand Valsesia, Cara Woodwark, Fengtang Yang, Junjun Zhang, Tatiana Zerjal, Jane Zhang, Lluis Armengol, Donald F Conrad, Xavier Estivill, Chris Tyler-Smith, Nigel P Carter, Hiroyuki Aburatani, Charles Lee, Keith W Jones, Stephen W Scherer, Matthew E Hurles","No"
"5206","Barcelona Institute for Global Health (ISGlobal)","SNPassoc: an R package to perform whole genome association studies.","10.1093/bioinformatics/btm025","2007","314","Juan R González, Lluís Armengol, Xavier Solé, Elisabet Guinó, Josep M Mercader, Xavier Estivill, Víctor Moreno","No"
"5207","Barcelona Institute for Global Health (ISGlobal)","Genetic variants associated with subjective well-being, depressive symptoms, and neuroticism identified through genome-wide analyses.","10.1038/ng.3552","2016","97","Aysu Okbay, Bart M L Baselmans, Jan-Emmanuel De Neve, Patrick Turley, Michel G Nivard, Mark Alan Fontana, S Fleur W Meddens, Richard Karlsson Linnér, Cornelius A Rietveld, Jaime Derringer, Jacob Gratten, James J Lee, Jimmy Z Liu, Ronald de Vlaming, Tarunveer S Ahluwalia, Jadwiga Buchwald, Alana Cavadino, Alexis C Frazier-Wood, Nicholas A Furlotte, Victoria Garfield, Marie Henrike Geisel, Juan R Gonzalez, Saskia Haitjema, Robert Karlsson, Sander W van der Laan, Karl-Heinz Ladwig, Jari Lahti, Sven J van der Lee, Penelope A Lind, Tian Liu, Lindsay Matteson, Evelin Mihailov, Michael B Miller, Camelia C Minica, Ilja M Nolte, Dennis Mook-Kanamori, Peter J van der Most, Christopher Oldmeadow, Yong Qian, Olli Raitakari, Rajesh Rawal, Anu Realo, Rico Rueedi, Börge Schmidt, Albert V Smith, Evie Stergiakouli, Toshiko Tanaka, Kent Taylor, Gudmar Thorleifsson, Juho Wedenoja, Juergen Wellmann, Harm-Jan Westra, Sara M Willems, Wei Zhao, Najaf Amin, Andrew Bakshi, Sven Bergmann, Gyda Bjornsdottir, Patricia A Boyle, Samantha Cherney, Simon R Cox, Gail Davies, Oliver S P Davis, Jun Ding, Nese Direk, Peter Eibich, Rebecca T Emeny, Ghazaleh Fatemifar, Jessica D Faul, Luigi Ferrucci, Andreas J Forstner, Christian Gieger, Richa Gupta, Tamara B Harris, Juliette M Harris, Elizabeth G Holliday, Jouke-Jan Hottenga, Philip L De Jager, Marika A Kaakinen, Eero Kajantie, Ville Karhunen, Ivana Kolcic, Meena Kumari, Lenore J Launer, Lude Franke, Lude Franke, Ruifang Li-Gao, David C Liewald, Marisa Koini, Anu Loukola, Pedro Marques-Vidal, Grant W Montgomery, Miriam A Mosing, Lavinia Paternoster, Alison Pattie, Katja E Petrovic, Laura Pulkki-Råback, Lydia Quaye, Katri Räikkönen, Igor Rudan, Igor Rudan, Rodney J Scott, Jennifer A Smith, Angelina R Sutin, Maciej Trzaskowski, Anna E Vinkhuyzen, Lei Yu, Delilah Zabaneh, John R Attia, David A Bennett, Klaus Berger, Lars Bertram, Dorret I Boomsma, Harold Snieder, Shun-Chiao Chang, Francesco Cucca, Ian J Deary, Cornelia M van Duijn, Johan G Eriksson, Ute Bültmann, Eco J C de Geus, Patrick J F Groenen, Vilmundur Gudnason, Torben Hansen, Catharine A Hartman, Claire M A Haworth, Caroline Hayward, Andrew C Heath, David A Hinds, Elina Hyppönen, William G Iacono, Marjo-Riitta Järvelin, Karl-Heinz Jöckel, Jaakko Kaprio, Sharon L R Kardia, Liisa Keltikangas-Järvinen, Peter Kraft, Laura D Kubzansky, Terho Lehtimäki, Patrik K E Magnusson, Nicholas G Martin, Matt McGue, Andres Metspalu, Melinda Mills, Renée de Mutsert, Albertine J Oldehinkel, Gerard Pasterkamp, Nancy L Pedersen, Robert Plomin, Ozren Polasek, Christine Power, Stephen S Rich, Frits R Rosendaal, Hester M den Ruijter, David Schlessinger, Helena Schmidt, Rauli Svento, Reinhold Schmidt, Behrooz Z Alizadeh, Thorkild I A Sørensen, Tim D Spector, John M Starr, Kari Stefansson, Andrew Steptoe, Antonio Terracciano, Unnur Thorsteinsdottir, A Roy Thurik, Nicholas J Timpson, Henning Tiemeier, André G Uitterlinden, Peter Vollenweider, Gert G Wagner, David R Weir, Jian Yang, Dalton C Conley, George Davey Smith, Albert Hofman, Magnus Johannesson, David I Laibson, Sarah E Medland, Michelle N Meyer, Joseph K Pickrell, Tõnu Esko, Robert F Krueger, Jonathan P Beauchamp, Philipp D Koellinger, Daniel J Benjamin, Meike Bartels, David Cesarini","No"
"5208","Barcelona Institute for Global Health (ISGlobal)","Detectable clonal mosaicism and its relationship to aging and cancer.","10.1038/ng.2270","2012","197","Kevin B Jacobs, Meredith Yeager, Weiyin Zhou, Sholom Wacholder, Zhaoming Wang, Benjamin Rodriguez-Santiago, Amy Hutchinson, Xiang Deng, Chenwei Liu, Marie-Josephe Horner, Michael Cullen, Caroline G Epstein, Laurie Burdett, Michael C Dean, Nilanjan Chatterjee, Joshua Sampson, Charles C Chung, Joseph Kovaks, Susan M Gapstur, Victoria L Stevens, Lauren T Teras, Mia M Gaudet, Demetrius Albanes, Stephanie J Weinstein, Jarmo Virtamo, Philip R Taylor, Neal D Freedman, Christian C Abnet, Alisa M Goldstein, Nan Hu, Kai Yu, Jian-Min Yuan, Linda Liao, Ti Ding, You-Lin Qiao, Yu-Tang Gao, Woon-Puay Koh, Yong-Bing Xiang, Ze-Zhong Tang, Jin-Hu Fan, Melinda C Aldrich, Christopher Amos, William J Blot, Cathryn H Bock, Elizabeth M Gillanders, Curtis C Harris, Christopher A Haiman, Brian E Henderson, Laurence N Kolonel, Loic Le Marchand, Lorna H McNeill, Benjamin A Rybicki, Ann G Schwartz, Lisa B Signorello, Margaret R Spitz, John K Wiencke, Margaret Wrensch, Xifeng Wu, Krista A Zanetti, Regina G Ziegler, Jonine D Figueroa, Montserrat Garcia-Closas, Nuria Malats, Gaelle Marenne, Ludmila Prokunina-Olsson, Dalsu Baris, Molly Schwenn, Alison Johnson, Maria Teresa Landi, Lynn Goldin, Dario Consonni, Pier Alberto Bertazzi, Melissa Rotunno, Preetha Rajaraman, Ulrika Andersson, Laura E Beane Freeman, Christine D Berg, Julie E Buring, Mary A Butler, Tania Carreon, Maria Feychting, Anders Ahlbom, J Michael Gaziano, Graham G Giles, Goran Hallmans, Susan E Hankinson, Patricia Hartge, Roger Henriksson, Peter D Inskip, Christoffer Johansen, Annelie Landgren, Roberta McKean-Cowdin, Dominique S Michaud, Beatrice S Melin, Ulrike Peters, Avima M Ruder, Howard D Sesso, Gianluca Severi, Xiao-Ou Shu, Kala Visvanathan, Emily White, Alicja Wolk, Anne Zeleniuch-Jacquotte, Wei Zheng, Debra T Silverman, Manolis Kogevinas, Juan R Gonzalez, Olaya Villa, Donghui Li, Eric J Duell, Harvey A Risch, Sara H Olson, Charles Kooperberg, Brian M Wolpin, Li Jiao, Manal Hassan, William Wheeler, Alan A Arslan, H Bas Bueno-de-Mesquita, Charles S Fuchs, Steven Gallinger, Myron D Gross, Elizabeth A Holly, Alison P Klein, Andrea LaCroix, Margaret T Mandelson, Gloria Petersen, Marie-Christine Boutron-Ruault, Paige M Bracci, Federico Canzian, Kenneth Chang, Michelle Cotterchio, Edward L Giovannucci, Michael Goggins, Judith A Hoffman Bolton, Mazda Jenab, Kay-Tee Khaw, Vittorio Krogh, Robert C Kurtz, Robert R McWilliams, Julie B Mendelsohn, Kari G Rabe, Elio Riboli, Anne Tjønneland, Geoffrey S Tobias, Dimitrios Trichopoulos, Joanne W Elena, Herbert Yu, Laufey Amundadottir, Rachael Z Stolzenberg-Solomon, Peter Kraft, Fredrick Schumacher, Daniel Stram, Sharon A Savage, Lisa Mirabello, Irene L Andrulis, Jay S Wunder, Ana Patiño García, Luis Sierrasesúmaga, Donald A Barkauskas, Richard G Gorlick, Mark Purdue, Wong-Ho Chow, Lee E Moore, Kendra L Schwartz, Faith G Davis, Ann W Hsing, Sonja I Berndt, Amanda Black, Nicolas Wentzensen, Louise A Brinton, Jolanta Lissowska, Beata Peplonska, Katherine A McGlynn, Michael B Cook, Barry I Graubard, Christian P Kratz, Mark H Greene, Ralph L Erickson, David J Hunter, Gilles Thomas, Robert N Hoover, Francisco X Real, Joseph F Fraumeni, Neil E Caporaso, Margaret Tucker, Nathaniel Rothman, Luis A Pérez-Jurado, Stephen J Chanock","No"
"5209","Barcelona Supercomputing Center (BSC-CNS)","PMut: a web-based tool for the annotation of pathological variants on proteins, 2017 update.","10.1093/nar/gkx313","2017","0","Víctor López-Ferrando, Andrea Gazzo, Xavier de la Cruz, Modesto Orozco, Josep Ll Gelpí","Si"
"5210","Barcelona Supercomputing Center (BSC-CNS)","PACSAB: Coarse-Grained Force Field for the Study of Protein-Protein Interactions and Conformational Sampling in Multiprotein Systems.","10.1021/acs.jctc.5b00660","2015","0","Agustí Emperador, Pedro Sfriso, Marcos Ariel Villarreal, Josep Lluis Gelpí, Modesto Orozco","No"
"5211","Barcelona Supercomputing Center (BSC-CNS)","Molecular dynamics simulations: advances and applications.","10.2147/aabc.s70333","2015","14","Adam Hospital, Josep Ramon Goñi, Modesto Orozco, Josep L Gelpí","No"
"5212","Barcelona Supercomputing Center (BSC-CNS)","Structural and energetic study of cation-p-cation interactions in proteins.","10.1039/c6cp08448f","2017","2","Silvana Pinheiro, Ignacio Soteras, Josep Lluis Gelpí, François Dehez, Christophe Chipot, F Javier Luque, Carles Curutchet","No"
"5213","Barcelona Supercomputing Center (BSC-CNS)","BioSWR--semantic web services registry for bioinformatics.","10.1371/journal.pone.0107889","2014","1","Dmitry Repchevsky, Josep Ll Gelpi","No"
"5214","Barcelona Supercomputing Center (BSC-CNS)","Exploring early stages of the chemical unfolding of proteins at the proteome scale.","10.1371/journal.pcbi.1003393","2013","3","Michela Candotti, Alberto Pérez, Carles Ferrer-Costa, Manuel Rueda, Tim Meyer, Josep Lluís Gelpí, Modesto Orozco","Si"
"5215","Barcelona Supercomputing Center (BSC-CNS)","Inntags: small self-structured epitopes for innocuous protein tagging.","10.1038/nmeth.3556","2015","5","Maya V Georgieva, Galal Yahya, Laia Codó, Raúl Ortiz, Laura Teixidó, José Claros, Ricardo Jara, Mònica Jara, Antoni Iborra, Josep Lluís Gelpí, Carme Gallego, Modesto Orozco, Martí Aldea","No"
"5216","Barcelona Supercomputing Center (BSC-CNS)","Unveiling case-control relationships in designing a simple and powerful method for detecting gene-gene interactions.","10.1002/gepi.21665","2012","1","Oriol Canela-Xandri, Antonio Julià, Josep Lluís Gelpí, Sara Marsal","No"
"5217","Barcelona Supercomputing Center (BSC-CNS)","BIGNASim: a NoSQL database structure and analysis portal for nucleic acids simulation data.","10.1093/nar/gkv1301","2016","4","Adam Hospital, Pau Andrio, Cesare Cugnasco, Laia Codo, Yolanda Becerra, Pablo D Dans, Federica Battistini, Jordi Torres, Ramón Goñi, Modesto Orozco, Josep Ll Gelpí","Si"
"5218","Barcelona Supercomputing Center (BSC-CNS)","Efficient Relaxation of Protein-Protein Interfaces by Discrete Molecular Dynamics Simulations.","10.1021/ct301039e","2013","5","Agusti Emperador, Albert Solernou, Pedro Sfriso, Carles Pons, Josep Lluis Gelpi, Juan Fernandez-Recio, Modesto Orozco","No"
"5219","Barcelona Supercomputing Center (BSC-CNS)","Finding Conformational Transition Pathways from Discrete Molecular Dynamics Simulations.","10.1021/ct300494q","2012","14","Pedro Sfriso, Agusti Emperador, Laura Orellana, Adam Hospital, Josep Lluis Gelpí, Modesto Orozco","No"
"5220","Barcelona Supercomputing Center (BSC-CNS)","MDWeb and MDMoby: an integrated web-based platform for molecular dynamics simulations.","10.1093/bioinformatics/bts139","2012","33","Adam Hospital, Pau Andrio, Carles Fenollosa, Damjan Cicin-Sain, Modesto Orozco, Josep Lluís Gelpí","No"
"5221","Barcelona Supercomputing Center (BSC-CNS)","Genome-Wide Pathway Analysis Identifies Genetic Pathways Associated with Psoriasis.","10.1016/j.jid.2015.11.026","2016","7","Adrià Aterido, Antonio Julià, Carlos Ferrándiz, Lluís Puig, Eduardo Fonseca, Emilia Fernández-López, Esteban Dauden, José Luís Sánchez-Carazo, José Luís López-Estebaranz, David Moreno-Ramírez, Francisco Vanaclocha, Enrique Herrera, Pablo de la Cueva, Nick Dand, Núria Palau, Arnald Alonso, María López-Lasanta, Raül Tortosa, Andrés García-Montero, Laia Codó, Josep Lluís Gelpí, Jaume Bertranpetit, Devin Absher, Francesca Capon, Richard M Myers, Jonathan N Barker, Sara Marsal","No"
"5222","Barcelona Supercomputing Center (BSC-CNS)","Parmbsc1: a refined force field for DNA simulations.","10.1038/nmeth.3658","2016","62","Ivan Ivani, Pablo D Dans, Agnes Noy, Alberto Pérez, Ignacio Faustino, Adam Hospital, Jürgen Walther, Pau Andrio, Ramon Goñi, Alexandra Balaceanu, Guillem Portella, Federica Battistini, Josep Lluis Gelpí, Carlos González, Michele Vendruscolo, Charles A Laughton, Sarah A Harris, David A Case, Modesto Orozco","Si"
"5223","Barcelona Supercomputing Center (BSC-CNS)","Effects of cadmium and mercury on the upper part of skeletal muscle glycolysis in mice.","10.1371/journal.pone.0080018","2014","2","Maria José Ramírez-Bajo, Pedro de Atauri, Fernando Ortega, Hans V Westerhoff, Josep Lluis Gelpí, Josep J Centelles, Marta Cascante","No"
"5224","Barcelona Supercomputing Center (BSC-CNS)","Ligand-induced changes in the binding sites of proteins.","10.1093/bioinformatics/18.7.939","2002","18","Xavier Fradera, Xavier De La Cruz, Carlos H T P Silva, Jose Luis Gelpí, F J Luque, Modesto Orozco","No"
"5226","Barcelona Supercomputing Center (BSC-CNS)","Functional and structural characterization of the first prokaryotic member of the L-amino acid transporter (LAT) family: a model for APC transporters.","10.1074/jbc.m610695200","2007","25","Núria Reig, César del Rio, Fabio Casagrande, Mercè Ratera, Josep Lluís Gelpí, David Torrents, Peter J F Henderson, Hao Xie, Stephen A Baldwin, Antonio Zorzano, Dimitrios Fotiadis, Manuel Palacín","No"
"5227","Barcelona Supercomputing Center (BSC-CNS)","A deletion at ADAMTS9-MAGI1 locus is associated with psoriatic arthritis risk.","10.1136/annrheumdis-2014-207190","2015","3","Antonio Julià, José Antonio Pinto, Jordi Gratacós, Rubén Queiró, Carlos Ferrándiz, Eduardo Fonseca, Carlos Montilla, Juan Carlos Torre-Alonso, Lluís Puig, José Javier Pérez Venegas, Antonio Fernández Nebro, Emilia Fernández, Santiago Muñoz-Fernández, Esteban Daudén, Carlos González, Daniel Roig, José Luís Sánchez Carazo, Pedro Zarco, Alba Erra, José Luís López Estebaranz, Jesús Rodríguez, David Moreno Ramírez, Pablo de la Cueva, Francisco Vanaclocha, Enrique Herrera, Santos Castañeda, Esteban Rubio, Georgina Salvador, César Díaz-Torné, Ricardo Blanco, Alfredo Willisch Domínguez, José Antonio Mosquera, Paloma Vela, Jesús Tornero, Simón Sánchez-Fernández, Héctor Corominas, Julio Ramírez, María López-Lasanta, Raül Tortosa, Nuria Palau, Arnald Alonso, Andrés C García-Montero, Josep Lluís Gelpí, Laia Codó, Kenneth Day, Devin Absher, Richard M Myers, Juan D Cañete, Sara Marsal","No"
"5229","Barcelona Supercomputing Center (BSC-CNS)","Dissection of the recognition properties of p38 MAP kinase. Determination of the binding mode of a new pyridinyl-heterocycle inhibitor family.","10.1021/jm061073h","2007","8","Robert Soliva, Josep Lluis Gelpí, Carmen Almansa, Marina Virgili, Modesto Orozco","No"
"5231","Barcelona Supercomputing Center (BSC-CNS)","NAFlex: a web server for the study of nucleic acid flexibility.","10.1093/nar/gkt378","2013","11","Adam Hospital, Ignacio Faustino, Rosana Collepardo-Guevara, Carlos González, Josep Lluis Gelpí, Modesto Orozco","Si"
"5232","Barcelona Supercomputing Center (BSC-CNS)","Identification of risk loci for Crohn's disease phenotypes using a genome-wide association study.","10.1053/j.gastro.2014.12.030","2015","15","Arnald Alonso, Eugeni Domènech, Antonio Julià, Julián Panés, Valle García-Sánchez, Pilar Nos Mateu, Ana Gutiérrez, Fernando Gomollón, Juan L Mendoza, Esther Garcia-Planella, Manuel Barreiro-de Acosta, Fernando Muñoz, Maribel Vera, Cristina Saro, Maria Esteve, Montserrat Andreu, Maria Chaparro, Josep Manyé, Eduard Cabré, María López-Lasanta, Raül Tortosa, Josep Lluís Gelpí, Andrés C García-Montero, Jaume Bertranpetit, Devin Absher, Richard M Myers, Sara Marsal, Javier P Gisbert","No"
"5233","Barcelona Supercomputing Center (BSC-CNS)","Modulation of drug cytotoxicity by reintroduction of wild-type p53 gene (Ad5CMV-p53) in human pancreatic cancer.","10.1038/sj.cgt.7700150","2000","21","M Cascalló, J Calbó, J L Gelpí, A Mazo","No"
"5236","Barcelona Supercomputing Center (BSC-CNS)","A genome-wide association study identifies a novel locus at 6q22.1 associated with ulcerative colitis.","10.1093/hmg/ddu398","2014","13","Antonio Julià, Eugeni Domènech, María Chaparro, Valle García-Sánchez, Fernando Gomollón, Julián Panés, Míriam Mañosa, Manuel Barreiro-De Acosta, Ana Gutiérrez, Esther Garcia-Planella, Mariam Aguas, Fernando Muñoz, Maria Esteve, Juan L Mendoza, Maribel Vera, Lucía Márquez, Raül Tortosa, María López-Lasanta, Arnald Alonso, Josep L Gelpí, Andres C García-Montero, Jaume Bertranpetit, Devin Absher, Richard M Myers, Javier P Gisbert, Sara Marsal","No"
"5237","Barcelona Supercomputing Center (BSC-CNS)","D-2-hydroxy-4-methylvalerate dehydrogenase from Lactobacillus delbrueckii subsp. bulgaricus. I. Kinetic mechanism and pH dependence of kinetic parameters, coenzyme binding and substrate inhibition.","10.1111/j.1432-1033.1997.00203.x","1997","4","J A Alvarez, J L Gelpí, K Johnsen, N Bernard, J Delcour, A R Clarke, J J Holbrook, A Cortés","No"
"5238","Barcelona Supercomputing Center (BSC-CNS)","Cystinuria-specific rBAT(R365W) mutation reveals two translocation pathways in the amino acid transporter rBAT-b0,+AT.","10.1042/bj20030956","2004","13","Marta Pineda, Carsten A Wagner, Angelika Bröer, Paul A Stehberger, Simone Kaltenbach, Josep Ll Gelpí, Rafael Martín Del Río, Antonio Zorzano, Manuel Palacín, Florian Lang, Stefan Bröer","No"
"5239","Barcelona Supercomputing Center (BSC-CNS)","D-2-hydroxy-4-methylvalerate dehydrogenase from Lactobacillus delbrueckii subsp. bulgaricus. II. Mutagenic analysis of catalytically important residues.","10.1111/j.1432-1033.1997.00213.x","1997","10","N Bernard, K Johnsen, J L Gelpi, J A Alvarez, T Ferain, D Garmyn, P Hols, A Cortes, A R Clarke, J J Holbrook, J Delcour","No"
"5241","Barcelona Supercomputing Center (BSC-CNS)","Synthesis, structural analysis, and biological evaluation of thioxoquinazoline derivatives as phosphodiesterase 7 inhibitors.","10.1002/cmdc.200900043","2009","23","Tania Castaño, Huanchen Wang, Nuria E Campillo, Sara Ballester, Coral González-García, Javier Hernández, Concepción Pérez, Jimena Cuenca, Ana Pérez-Castillo, Ana Martínez, Oscar Huertas, José Luis Gelpí, F Javier Luque, Hengming Ke, Carmen Gil","No"
"5242","Barcelona Supercomputing Center (BSC-CNS)","Role of Pre-A motif in nitric oxide scavenging by truncated hemoglobin, HbN, of Mycobacterium tuberculosis.","10.1074/jbc.m807436200","2009","27","Amrita Lama, Sudesh Pawaria, Axel Bidon-Chanal, Arvind Anand, José Luis Gelpí, Swati Arya, Marcelo Martí, Dario A Estrin, F Javier Luque, Kanak L Dikshit","No"
"5243","Barcelona Supercomputing Center (BSC-CNS)","A consensus view of protein dynamics.","10.1073/pnas.0605534104","2007","99","Manuel Rueda, Carles Ferrer-Costa, Tim Meyer, Alberto Pérez, Jordi Camps, Adam Hospital, Josep Lluis Gelpí, Modesto Orozco","No"
"5244","Barcelona Supercomputing Center (BSC-CNS)","Mutations in JMJD1C are involved in Rett syndrome and intellectual disability.","10.1038/gim.2015.100","2016","4","Mauricio A Sáez, Juana Fernández-Rodríguez, Catia Moutinho, Jose V Sanchez-Mut, Antonio Gomez, Enrique Vidal, Paolo Petazzi, Karolina Szczesna, Paula Lopez-Serra, Mario Lucariello, Patricia Lorden, Raul Delgado-Morales, Olga J de la Caridad, Dori Huertas, Josep L Gelpí, Modesto Orozco, Adriana López-Doriga, Montserrat Milà, Luís A Perez-Jurado, Mercedes Pineda, Judith Armstrong, Conxi Lázaro, Manel Esteller","No"
"5245","Barcelona Supercomputing Center (BSC-CNS)","MoDEL (Molecular Dynamics Extended Library): a database of atomistic molecular dynamics trajectories.","10.1016/j.str.2010.07.013","2010","40","Tim Meyer, Marco D'Abramo, Adam Hospital, Manuel Rueda, Carles Ferrer-Costa, Alberto Pérez, Oliver Carrillo, Jordi Camps, Carles Fenollosa, Dmitry Repchevsky, Josep Lluis Gelpí, Modesto Orozco","No"
"5246","Barcelona Supercomputing Center (BSC-CNS)","Coarse-grained representation of protein flexibility. Foundations, successes, and shortcomings.","10.1016/b978-0-12-386485-7.00005-3","2011","9","Modesto Orozco, Laura Orellana, Adam Hospital, Athi N Naganathan, Agustí Emperador, Oliver Carrillo, J L Gelpí","No"
"5247","Barcelona Supercomputing Center (BSC-CNS)","Efficient aminoacylation of the tRNA(Ala) acceptor stem: dependence on the 2:71 base pair.","10.1017/s1355838202020277","2002","9","Penny J Beuning, Maria C Nagan, Christopher J Cramer, Karin Musier-Forsyth, Josep-Lluis Gelpí, Donald Bashford","No"
"5248","Barcelona Supercomputing Center (BSC-CNS)","A novel mutation (V89L) in the presenilin 1 gene in a family with early onset Alzheimer's disease and marked behavioural disturbances.","10.1136/jnnp.72.2.266","2002","23","R Queralt, M Ezquerra, A Lleó, M Castellví, J Gelpí, I Ferrer, N Acarín, L Pasarín, R Blesa, R Oliva","No"
"5249","Barcelona Supercomputing Center (BSC-CNS)","PMUT: a web-based tool for the annotation of pathological mutations on proteins.","10.1093/bioinformatics/bti486","2005","283","Carles Ferrer-Costa, Josep Lluis Gelpí, Leire Zamakola, Ivan Parraga, Xavier de la Cruz, Modesto Orozco","No"
"5250","Barcelona Supercomputing Center (BSC-CNS)","Unconventional interactions between water and heterocyclic nitrogens in protein structures.","10.1002/prot.20216","2004","14","Elliott J Stollar, Jose Luis Gelpí, Sameer Velankar, Adel Golovin, Modesto Orozco, Ben F Luisi","No"
"5251","Barcelona Supercomputing Center (BSC-CNS)","Kinetic studies of the regulation of mitochondrial malate dehydrogenase by citrate.","10.1042/bj2830289","1992","12","J L Gelpí, A Dordal, J Montserrat, A Mazo, A Cortés","No"
"5252","Barcelona Supercomputing Center (BSC-CNS)","Linear response theory: an alternative to PB and GB methods for the analysis of molecular dynamics trajectories?","10.1002/prot.20169","2004","3","Antonio Morreale, Xavier de la Cruz, Tim Meyer, Josep Lluís Gelpí, F Javier Luque, Modesto Orozco","No"
"5253","Barcelona Supercomputing Center (BSC-CNS)","Partition of protein solvation into group contributions from molecular dynamics simulations.","10.1002/prot.20292","2005","2","Antonio Morreale, Xavier de la Cruz, Tim Meyer, Josep Lluís Gelpí, F Javier Luque, Modesto Orozco","No"
